Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,District
Tim Walberg ,Rep,3-Jan-11,RepWalberg,RepWalberg,RepWalberg,RepWalberg,MI-7
Elissa Slotkin ,Rep,3-Jan-19,RepSlotkin,RepSlotkin,RepSlotkin,RepSlotkin,MI-8
Andy Levin ,Rep,3-Jan-19,RepAndyLevin,RepAndyLevin,RepAndyLevin,RepAndyLevin,MI-9
Jim Hagedorn ,Rep,3-Jan-19,RepHagedorn,RepHagedorn,RepHagedorn,RepHagedorn,MN-1
Angie Craig ,Rep,3-Jan-19,RepAngieCraig,RepAngieCraig,RepAngieCraig,RepAngieCraig,MN-2
Dean Phillips ,Rep,3-Jan-19,RepDeanPhillips,RepDeanPhillips,RepDeanPhillips,RepDeanPhillips,MN-3
Betty McCollum ,Rep,3-Jan-01,BettyMcCollum04,BettyMcCollum04,BettyMcCollum04,BettyMcCollum04,MN-4
Ilhan Omar ,Rep,3-Jan-19,Ilhan,Ilhan,Ilhan,Ilhan,MN-5
Tom Emmer ,Rep,3-Jan-15,RepTomEmmer,RepTomEmmer,RepTomEmmer,RepTomEmmer,MN-6
Collin Peterson ,Rep,3-Jan-91,collinpeterson,,,,MN-7
Pete Stauber ,Rep,3-Jan-19,RepPeteStauber,RepPeteStauber,RepPeteStauber,RepPeteStauber,MN-8
Lacy Clay ,Rep,3-Jan-01,LacyClayMO1,LacyClayMO1,,,MO-1
Ann Wagner ,Rep,3-Jan-13,RepAnnWagner,RepAnnWagner,RepAnnWagner,RepAnnWagner,MO-2
Blaine Luetkemeyer ,Rep,3-Jan-13,RepBlaine,RepBlaine,RepBlaine,RepBlaine,MO-3
Vicky Hartzler ,Rep,3-Jan-11,RepHartzler,RepHartzler,RepHartzler,RepHartzler,MO-4
Emanuel Cleaver ,Rep,3-Jan-05,RepCleaver,RepCleaver,RepCleaver,RepCleaver,MO-5
Sam Graves ,Rep,3-Jan-01,RepSamGraves,RepSamGraves,RepSamGraves,RepSamGraves,MO-6
Billy Long ,Rep,3-Jan-11,USRepLong,USRepLong,USRepLong,USRepLong,MO-7
Jason Smith ,Rep,3-Jan-17,RepJasonSmith,RepJasonSmith,RepJasonSmith,RepJasonSmith,MO-8
Gregorio Sablan ,Rep,3-Jan-09,Kilili_Sablan,,Kilili_Sablan,Kilili_Sablan,MP-0
Trent Kelly ,Rep,2-Jun-15,reptrentkelly,reptrentkelly,reptrentkelly,reptrentkelly,MS-1
Bennie Thompson ,Rep,13-Apr-93,BennieGThompson,BennieGThompson,BennieGThompson,BennieGThompson,MS-2
Michael Guest ,Rep,3-Jan-19,RepMichaelGuest,RepMichaelGuest,RepMichaelGuest,RepMichaelGuest,MS-3
Steven Palazzo ,Rep,3-Jan-11,CongPalazzo,CongPalazzo,CongPalazzo,CongPalazzo,MS-4
Greg Gianforte ,Rep,21-Jun-17,GregForMontana,,,,MT-0
G. K. Butterfield,Rep,20-Jul-04,GKButterfield,GKButterfield,GKButterfield,GKButterfield,NC-1
Patrick McHenry ,Rep,3-Jan-05,PatrickMcHenry,PatrickMcHenry,PatrickMcHenry,PatrickMcHenry,NC-10
Mark Meadows ,Rep,3-Jan-17,RepMarkMeadows,RepMarkMeadows,RepMarkMeadows,RepMarkMeadows,NC-11
Alma Adams ,Rep,4-Nov-14,RepAdams,RepAdams,RepAdams,RepAdams,NC-12
Ted Budd ,Rep,3-Jan-17,RepTedBudd,RepTedBudd,RepTedBudd,RepTedBudd,NC-13
George Holding ,Rep,3-Jan-17,RepHolding,RepHolding,RepHolding,RepHolding,NC-2
David Price ,Rep,3-Jan-97,RepDavidEPrice,RepDavidEPrice,RepDavidEPrice,RepDavidEPrice,NC-4
