Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,District
Don Young ,Rep,5-Dec-17,RepDonYoung,RepDonYoung,RepDonYoung,RepDonYoung,AK-0
Bradley Byrne ,Rep,8-Jan-14,RepByrne,RepByrne,RepByrne,RepByrne,AL-1
Martha Roby ,Rep,3-Jan-11,RepMarthaRoby,RepMarthaRoby,RepMarthaRoby,RepMarthaRoby,AL-2
Mike Rogers ,Rep,3-Jan-03,RepMikeRogersAL,RepMikeRogersAL,RepMikeRogersAL,RepMikeRogersAL,AL-3
Robert Aderholt ,Rep,3-Jan-97,Robert_Aderholt,Robert_Aderholt,Robert_Aderholt,Robert_Aderholt,AL-4
Mo Brooks ,Rep,3-Jan-11,RepMoBrooks,RepMoBrooks,RepMoBrooks,RepMoBrooks,AL-5
Gary Palmer ,Rep,3-Jan-15,USRepGaryPalmer,USRepGaryPalmer,USRepGaryPalmer,USRepGaryPalmer,AL-6
Terri Sewell ,Rep,3-Jan-11,RepTerriSewell,RepTerriSewell,RepTerriSewell,RepTerriSewell,AL-7
Rick Crawford ,Rep,3-Jan-11,RepRickCrawford,RepRickCrawford,RepRickCrawford,RepRickCrawford,AR-1
French Hill ,Rep,3-Jan-15,RepFrenchHill,RepFrenchHill,RepFrenchHill,RepFrenchHill,AR-2
Steve Womack ,Rep,3-Jan-11,Rep_SteveWomack,Rep_SteveWomack,Rep_SteveWomack,Rep_SteveWomack,AR-3
Bruce Westerman ,Rep,3-Jan-15,RepWesterman,RepWesterman,RepWesterman,RepWesterman,AR-4
Amata Coleman Radewagen,Rep,3-Jan-15,RepAmata,RepAmata,RepAmata,RepAmata,AS-0
Tom O'Halleran ,Rep,3-Jan-17,repohalleran,repohalleran,repohalleran,repohalleran,AZ-1
Ann Kirkpatrick ,Rep,3-Jan-19,RepKirkpatrick,RepKirkpatrick,RepKirkpatrick,RepKirkpatrick,AZ-2
Raúl Grijalva ,Rep,3-Jan-03,RepraulGrijalva,RepraulGrijalva,RepraulGrijalva,RepraulGrijalva,AZ-3
Paul Gosar ,Rep,3-Jan-11,RepGosar,RepGosar,RepGosar,RepGosar,AZ-4
Andy Biggs ,Rep,3-Jan-17,RepAndyBiggsAZ,RepAndyBiggsAZ,RepAndyBiggsAZ,RepAndyBiggsAZ,AZ-5
David Schweikert ,Rep,3-Jan-13,RepDavid,RepDavid,RepDavid,RepDavid,AZ-6
Ruben Gallego ,Rep,3-Jan-15,RepRubenGallego,RepRubenGallego,RepRubenGallego,RepRubenGallego,AZ-7
Debbie Lesko ,Rep,7-May-18,RepDLesko,RepDLesko,RepDLesko,RepDLesko,AZ-8
Greg Stanton ,Rep,3-Jan-19,RepGregStanton,RepGregStanton,RepGregStanton,RepGregStanton,AZ-9
Doug LaMalfa ,Rep,3-Jan-13,RepLaMalfa,RepLaMalfa,RepLaMalfa,RepLaMalfa,CA-1
Josh Harder ,Rep,3-Jan-19,RepJoshHarder,RepJoshHarder,RepJoshHarder,RepJoshHarder,CA-10
Mark DeSaulnier ,Rep,3-Jan-15,RepDeSaulnier,RepDeSaulnier,RepDeSaulnier,RepDeSaulnier,CA-11
Nancy Pelosi ,Rep,2-Jun-87,SpeakerPelosi,SpeakerPelosi,SpeakerPelosi,SpeakerPelosi,CA-12
Barbara Lee ,Rep,21-Apr-98,RepBarbaraLee,RepBarbaraLee,RepBarbaraLee,RepBarbaraLee,CA-13
Jackie Speier ,Rep,3-Jan-13,RepSpeier,RepSpeier,RepSpeier,RepSpeier,CA-14
Eric Swalwell ,Rep,3-Jan-13,RepSwalwell,RepSwalwell,RepSwalwell,RepSwalwell,CA-15
Jim Costa ,Rep,3-Jan-05,RepJimCosta,RepJimCosta,RepJimCosta,RepJimCosta,CA-16
Ro Khanna ,Rep,3-Jan-17,RepRoKhanna,RepRoKhanna,RepRoKhanna,RepRoKhanna,CA-17
Anna Eshoo ,Rep,3-Jan-13,RepAnnaEshoo,RepAnnaEshoo,RepAnnaEshoo,RepAnnaEshoo,CA-18
Zoe Lofgren ,Rep,3-Jan-95,RepZoeLofgren,RepZoeLofgren,RepZoeLofgren,RepZoeLofgren,CA-19
Jared Huffman ,Rep,3-Jan-13,RepHuffman,RepHuffman,RepHuffman,RepHuffman,CA-2
Jimmy Panetta ,Rep,3-Jan-17,RepJimmyPanetta,RepJimmyPanetta,RepJimmyPanetta,RepJimmyPanetta,CA-20
TJ Cox ,Rep,3-Jan-19,RepTjCox,RepTjCox,RepTjCox,RepTjCox,CA-21
Devin Nunes ,Rep,3-Jan-03,RepDevinNunes,RepDevinNunes,RepDevinNunes,RepDevinNunes,CA-22
Kevin McCarthy ,Rep,3-Jan-07,GOPLeader,GOPLeader,GOPLeader,GOPLeader,CA-23
Salud Carbajal ,Rep,3-Jan-17,RepCarbajal,RepCarbajal,RepCarbajal,RepCarbajal,CA-24
Katie Hill ,Rep,3-Jan-19,RepKatieHill,RepKatieHill,RepKatieHill,RepKatieHill,CA-25
Julia Brownley ,Rep,3-Jan-13,RepBrownley,RepBrownley,JuliaBrownley26,JuliaBrownley26,CA-26
Judy Chu ,Rep,14-Jul-09,RepJudyChu,RepJudyChu,RepJudyChu,RepJudyChu,CA-27
Adam Schiff ,Rep,3-Jan-01,RepAdamSchiff,RepAdamSchiff,RepAdamSchiff,RepAdamSchiff,CA-28
Tony Cárdenas ,Rep,3-Jan-13,RepCardenas,RepCardenas,RepCardenas,RepCardenas,CA-29
John Garamendi ,Rep,3-Nov-09,RepGaramendi,RepGaramendi,RepGaramendi,RepGaramendi,CA-3
Brad Sherman ,Rep,3-Jan-97,BradSherman,BradSherman,BradSherman,BradSherman,CA-30
Pete Aguilar ,Rep,3-Jan-15,reppeteaguilar,reppeteaguilar,reppeteaguilar,reppeteaguilar,CA-31
Grace Napolitano ,Rep,3-Jan-99,GraceNapolitano,GraceNapolitano,GraceNapolitano,GraceNapolitano,CA-32
Ted Lieu ,Rep,3-Jan-15,RepTedLieu,RepTedLieu,RepTedLieu,RepTedLieu,CA-33
Jimmy Gomez ,Rep,11-Jul-17,RepJimmyGomez,RepJimmyGomez,RepJimmyGomez,RepJimmyGomez,CA-34
Norma Torres ,Rep,3-Jan-15,NormaJTorres,NormaJTorres,NormaJTorres,NormaJTorres,CA-35
Raul Ruiz ,Rep,3-Jan-13,CongressmanRuiz,CongressmanRuiz,CongressmanRuiz,CongressmanRuiz,CA-36
Karen Bass ,Rep,3-Jan-11,RepKarenBass,RepKarenBass,RepKarenBass,RepKarenBass,CA-37
Linda Sánchez ,Rep,3-Jan-03,RepLindaSanchez,RepLindaSanchez,RepLindaSanchez,RepLindaSanchez,CA-38
Gil Cisneros ,Rep,3-Jan-19,RepGilCisneros,RepGilCisneros,RepGilCisneros,RepGilCisneros,CA-39
Tom McClintock ,Rep,3-Jan-09,RepMcClintock,RepMcClintock,RepMcClintock,RepMcClintock,CA-4
Lucille Roybal-Allard ,Rep,3-Jan-93,RepRoybalAllard,RepRoybalAllard,RepRoybalAllard,RepRoybalAllard,CA-40
Mark Takano ,Rep,3-Jan-13,RepMarkTakano,RepMarkTakano,RepMarkTakano,RepMarkTakano,CA-41
Ken Calvert ,Rep,3-Jan-13,KenCalvert,KenCalvert,KenCalvert,KenCalvert,CA-42
Maxine Waters ,Rep,3-Jan-91,RepMaxineWaters,RepMaxineWaters,RepMaxineWaters,RepMaxineWaters,CA-43
Nanette Barragán ,Rep,3-Jan-17,RepBarragan,RepBarragan,RepBarragan,RepBarragan,CA-44
Katie Porter ,Rep,3-Jan-19,RepKatiePorter,RepKatiePorter,RepKatiePorter,RepKatiePorter,CA-45
Lou Correa ,Rep,3-Jan-17,RepLouCorrea,RepLouCorrea,RepLouCorrea,RepLouCorrea,CA-46
Alan Lowenthal ,Rep,3-Jan-13,RepLowenthal,RepLowenthal,RepLowenthal,RepLowenthal,CA-47
Harley Rouda ,Rep,3-Jan-19,RepHarley,RepHarley,RepHarley,RepHarley,CA-48
Mike Levin ,Rep,3-Jan-19,RepMikeLevin,RepMikeLevin,RepMikeLevin,RepMikeLevin,CA-49
Mike Thompson ,Rep,3-Jan-99,RepThompson,RepThompson,RepThompson,RepThompson,CA-5
Duncan D. Hunter,Rep,3-Jan-13,Rep_Hunter,Rep_Hunter,Rep_Hunter,Rep_Hunter,CA-50
Juan Vargas ,Rep,3-Jan-13,RepJuanVargas,RepJuanVargas,RepJuanVargas,RepJuanVargas,CA-51
Scott Peters ,Rep,3-Jan-13,RepScottPeters,RepScottPeters,RepScottPeters,RepScottPeters,CA-52
Susan Davis ,Rep,3-Jan-01,RepSusanDavis,RepSusanDavis,RepSusanDavis,RepSusanDavis,CA-53
Doris Matsui ,Rep,10-Mar-05,DorisMatsui,DorisMatsui,DorisMatsui,DorisMatsui,CA-6
Ami Bera ,Rep,3-Jan-13,RepBera,RepBera,RepBera,RepBera,CA-7
Paul Cook ,Rep,3-Jan-13,RepPaulCook,RepPaulCook,RepPaulCook,RepPaulCook,CA-8
Jerry McNerney ,Rep,3-Jan-07,RepMcNerney,RepMcNerney,RepMcNerney,RepMcNerney,CA-9
Diana DeGette ,Rep,3-Jan-97,RepDianaDeGette,RepDianaDeGette,RepDianaDeGette,RepDianaDeGette,CO-1
Joe Neguse ,Rep,3-Jan-19,RepJoeNeguse,RepJoeNeguse,RepJoeNeguse,RepJoeNeguse,CO-2
Scott Tipton ,Rep,3-Jan-11,RepTipton,RepTipton,RepTipton,RepTipton,CO-3
Ken Buck ,Rep,3-Jan-15,RepKenBuck,RepKenBuck,RepKenBuck,RepKenBuck,CO-4
Doug Lamborn ,Rep,3-Jan-07,RepDLamborn,RepDLamborn,RepDLamborn,RepDLamborn,CO-5
Jason Crow ,Rep,3-Jan-19,RepJasonCrow,RepJasonCrow,RepJasonCrow,RepJasonCrow,CO-6
Ed Perlmutter ,Rep,3-Jan-07,RepPerlmutter,RepPerlmutter,RepPerlmutter,RepPerlmutter,CO-7
John B. Larson,Rep,3-Jan-99,RepJohnLarson,RepJohnLarson,RepJohnLarson,RepJohnLarson,CT-1
John Yarmuth ,Rep,3-Jan-07,RepJohnYarmuth,RepJohnYarmuth,RepJohnYarmuth,RepJohnYarmuth,CT-1
Joe Courtney ,Rep,3-Jan-07,RepJoeCourtney,RepJoeCourtney,RepJoeCourtney,RepJoeCourtney,CT-2
Rosa DeLauro ,Rep,3-Jan-91,RosaDeLauro,RosaDeLauro,RosaDeLauro,RosaDeLauro,CT-3
Jim Himes ,Rep,3-Jan-09,jahimes,jahimes,jahimes,jahimes,CT-4
Jahana Hayes ,Rep,3-Jan-19,RepJahanaHayes,RepJahanaHayes,RepJahanaHayes,RepJahanaHayes,CT-5
Eleanor Holmes Norton,Rep,3-Jan-91,EleanorNorton,EleanorNorton,EleanorNorton,EleanorNorton,DC-0
Lisa Blunt Rochester,Rep,3-Jan-17,RepLBR,RepLBR,RepLBR,RepLBR,DE-0
Matt Gaetz ,Rep,3-Jan-17,RepMattGaetz,RepMattGaetz,RepMattGaetz,RepMattGaetz,FL-1
Val Demings ,Rep,3-Jan-17,RepValDemings,RepValDemings,RepValDemings,RepValDemings,FL-10
Daniel Webster ,Rep,3-Jan-11,RepWebster,RepWebster,RepWebster,RepWebster,FL-11
Gus Bilirakis ,Rep,3-Jan-07,RepGusBilirakis,RepGusBilirakis,RepGusBilirakis,RepGusBilirakis,FL-12
Charlie Crist ,Rep,3-Jan-17,repcharliecrist,repcharliecrist,repcharliecrist,repcharliecrist,FL-13
Kathy Castor ,Rep,3-Jan-07,USRepKCastor,USRepKCastor,USRepKCastor,USRepKCastor,FL-14
Ross Spano ,Rep,3-Jan-19,RepRossSpano,RepRossSpano,RepRossSpano,RepRossSpano,FL-15
Vern Buchanan ,Rep,3-Jan-07,VernBuchanan,VernBuchanan,VernBuchanan,VernBuchanan,FL-16
Greg Steube ,Rep,3-Jan-19,RepGregSteube,RepGregSteube,RepGregSteube,RepGregSteube,FL-17
Brian Mast ,Rep,3-Jan-17,repbrianmast,repbrianmast,repbrianmast,repbrianmast,FL-18
Francis Rooney ,Rep,3-Jan-17,RepRooney,RepRooney,RepRooney,RepRooney,FL-19
Neal Dunn ,Rep,3-Jan-17,drnealdunnfl2,drnealdunnfl2,drnealdunnfl2,drnealdunnfl2,FL-2
Alcee Hastings ,Rep,3-Jan-93,RepHastingsFL,RepHastingsFL,RepHastingsFL,RepHastingsFL,FL-20
Lois Frankel ,Rep,3-Jan-13,RepLoisFrankel,RepLoisFrankel,RepLoisFrankel,RepLoisFrankel,FL-21
Ted Deutch ,Rep,13-Apr-10,RepTedDeutch,RepTedDeutch,RepTedDeutch,RepTedDeutch,FL-22
Debbie Wasserman Schultz,Rep,3-Jan-05,RepDWStweets,RepDWStweets,RepDWStweets,RepDWStweets,FL-23
Frederica Wilson ,Rep,3-Jan-11,RepWilson,RepWilson,RepWilson,RepWilson,FL-24
Debbie Mucarsel-Powell ,Rep,3-Jan-19,RepDMP,RepDMP,RepDMP,RepDMP,FL-26
Donna Shalala ,Rep,3-Jan-19,RepShalala,RepShalala,RepShalala,RepShalala,FL-27
Ted Yoho ,Rep,3-Jan-13,RepTedYoho,RepTedYoho,RepTedYoho,RepTedYoho,FL-3
John Rutherford ,Rep,3-Jan-17,RepRutherfordFL,RepRutherfordFL,RepRutherfordFL,RepRutherfordFL,FL-4
Al Lawson ,Rep,3-Jan-17,RepAlLawsonJr,RepAlLawsonJr,RepAlLawsonJr,RepAlLawsonJr,FL-5
Michael Waltz ,Rep,3-Jan-19,RepMichaelWaltz,RepMichaelWaltz,RepMichaelWaltz,RepMichaelWaltz,FL-6
Stephanie Murphy ,Rep,3-Jan-17,RepStephMurphy,RepStephMurphy,RepStephMurphy,RepStephMurphy,FL-7
Bill Posey ,Rep,3-Jan-09,CongBillPosey,CongBillPosey,CongBillPosey,CongBillPosey,FL-8
Darren Soto ,Rep,3-Jan-17,RepDarrenSoto,RepDarrenSoto,RepDarrenSoto,RepDarrenSoto,FL-9
Buddy Carter ,Rep,3-Jan-15,RepBuddyCarter,RepBuddyCarter,RepBuddyCarter,RepBuddyCarter,GA-1
Jody Hice ,Rep,3-Jan-15,congressmanhice,congressmanhice,congressmanhice,congressmanhice,GA-10
Barry Loudermilk ,Rep,3-Jan-15,RepLoudermilk,RepLoudermilk,RepLoudermilk,RepLoudermilk,GA-11
Rick W. Allen,Rep,3-Jan-15,reprickallen,reprickallen,reprickallen,reprickallen,GA-12
David Scott ,Rep,3-Jan-03,RepDavidScott,RepDavidScott,RepDavidScott,RepDavidScott,GA-13
Tom Graves ,Rep,3-Jan-13,RepTomGraves,RepTomGraves,RepTomGraves,RepTomGraves,GA-14
